=== Page 4 ===
款,項,"金
額",,,
"１ . 市
税",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"１ . 市
税",現 計,"49,286,30 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"２ . 地
方
譲
与
税",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"２ . 地
方
譲
与
税",現 計,"685,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
３ . 利 子 割 交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
３ . 利 子 割 交 付 金,現 計,"100,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
４ . 配 当 割 交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
４ . 配 当 割 交 付 金,現 計,"380,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
５ . 株 式 等 譲 渡 所 得 割 交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
５ . 株 式 等 譲 渡 所 得 割 交 付 金,現 計,"700,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
６ . 法 人 事 業税交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
６ . 法 人 事 業税交 付 金,現 計,"770,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
７ . 地 方 消 費税交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
７ . 地 方 消 費税交 付 金,現 計,"7,800,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
８ . ゴ ル フ 場 利 用 税 交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
８ . ゴ ル フ 場 利 用 税 交 付 金,現 計,"60,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
９ . 環 境 性 能割交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
９ . 環 境 性 能割交 付 金,現 計,"2,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
10 . 地 方特例交付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
10 . 地 方特例交付 金,現 計,"458,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
11 . 地 方 交 付 税,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
11 . 地 方 交 付 税,現 計,"200,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
12 . 交 通 安 全対策 特 別 交 付 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
12 . 交 通 安 全対策 特 別 交 付 金,現 計,"40,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
13 . 分 担 金 及び負 担 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
13 . 分 担 金 及び負 担 金,現 計,"1,673,55 5",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
14 . 使 用 料 及び手 数 料,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
14 . 使 用 料 及び手 数 料,現 計,"1,274,95 2",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
15 . 国 庫 支 出 金,補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
15 . 国 庫 支 出 金,現 計,"19,346,84 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"16 .
県
支
出
金",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"16 .
県
支
出
金",現 計,"8,912,92 1",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"17 . 財
産
収
入",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"17 . 財
産
収
入",現 計,"375,13 9",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"18 . 寄
附
金",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"18 . 寄
附
金",現 計,"6,019,30 1",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"19 . 繰
入
金",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"19 . 繰
入
金",現 計,"2,140,01 7",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"20 . 繰
越
金",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"20 . 繰
越
金",現 計,"1,000,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"21 . 諸
収
入",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"21 . 諸
収
入",現 計,"1,973,37 5",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"22 . 市
債",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"22 . 市
債",現 計,"7,602,60 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"歳
入
合
計",補 正,nan,nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,
"歳
入
合
計",現 計,"110,800,00 0",nan,nan,"第３ 回
第４ 回
第５ 回
第 ６ 回
第 ７ 回",,,

=== Page 16 ===
"議決年月 日
款 別",当 初 予 算,当 初 予 算,第 １ 回,第 ２ 回,,,
"議決年月 日
款 別",令和８． ３,令和８． ３,nan,nan,,,
"１ . 議
会
費",補 正,nan,nan,nan,,,
"１ . 議
会
費",現 計,"488,45 1",nan,nan,,,
"２ . 総
務
費",補 正,nan,nan,nan,,,
"２ . 総
務
費",現 計,"9,616,15 4",nan,nan,,,
"３ . 民
生
費",補 正,nan,nan,nan,,,
"３ . 民
生
費",現 計,"43,341,69 3",nan,nan,,,
"４ . 衛
生
費",補 正,nan,nan,nan,,,
"４ . 衛
生
費",現 計,"10,396,10 6",nan,nan,,,
"５ . 労
働
費",補 正,nan,nan,nan,,,
"５ . 労
働
費",現 計,"159,96 3",nan,nan,,,
６ . 農 林 水 産 業 費,補 正,nan,nan,nan,,,
