款,項,目,節,説明,R7,R8
,,総務費補助金,,,62237,48865
,,,総務管理費補助金,,,48865
,,,,移住就業支援事業費補助金（調定見込額 50000*3/4）,,37500
,,,,地方就職学生支援事業費補助金,,540
,,,,消費者行政強化促進事業費補助金,,6871
,,,,人権問題啓発事業費交付金,,290
,,,,地震・津波対策等減災交付金,,34
,,,,コミュニティ施設整備事業費補助金,,3050
,,,,地域日本語教育体制構築事業費補助金,,580
,,民生費補助金,,,1258432,1188507
,,,社会福祉費補助金,,,11486
,,,,重層的支援体制整備事業交付金,,10235
,,,,地震・津波対策等減災交付金,,1251
,,,老人福祉費補助金,,,85696
,,,,高齢者地域福祉推進事業費補助金,,5347
,,,,地震・津波対策等減災交付金,,85
,,,,成年後見推進事業費補助金,,2500
,,,,重層的支援体制整備事業交付金,,72309
,,,,介護保険低所得者利用者負担対策事業費補助金,,5455
,,,児童福祉費補助金,,,863175
,,,,安心こども基金事業費補助金,,2619
,,,,子育て支援事業費補助金,,42154
,,,,多様な保育推進事業費補助金,,67687
,,,,重層的支援体制整備事業交付金,,50208
,,,,放課後児童健全育成事業費補助金,,171363
,,,,ひとり親家庭放課後児童クラブ利用支援事業費補助金,,3825
,,,,人権問題啓発事業費交付金,,40
,,,,妊婦のための支援給付費補助金,,1143
,,,,ひとり親家庭日常生活支援事業費補助金,,52
,,,,ひとり親家庭等医療費補助金,,30816
,,,,こども医療費補助金,,290142
,,,,地震・津波対策等減災交付金,,350
,,,,施設型給付費補助金,,108299
,,,,保育対策等促進事業費補助金,,92013
,,,,年度途中入所サポート事業費補助金,,2464
,,,障害者福祉費補助金,,,228150
,,,,重度心身障害者医療費補助金,,199068
